0.631, 0.678, 0.820, 9.447
0.647, 0.656, 0.836, 9.486
0.646, 0.662, 0.822, 10.030
0.678, 0.671, 0.810, 9.625
0.656, 0.671, 0.814, 9.353
0.657, 0.667, 0.825, 10.462
0.675, 0.661, 0.824, 9.155
0.669, 0.660, 0.814, 9.240
0.649, 0.678, 0.818, 10.542
0.670, 0.671, 0.811, 9.298
0.659, 0.675, 0.810, 10.019
0.634, 0.661, 0.797, 9.734
0.684, 0.658, 0.815, 9.583
0.673, 0.673, 0.813, 9.204
0.656, 0.681, 0.823, 8.967
0.687, 0.665, 0.826, 9.240
0.652, 0.670, 0.817, 9.269
0.643, 0.689, 0.822, 8.925
0.647, 0.680, 0.801, 11.197
0.677, 0.656, 0.805, 9.444
0.669, 0.639, 0.823, 9.565
0.662, 0.657, 0.813, 9.425
0.687, 0.652, 0.838, 8.543
0.661, 0.671, 0.800, 9.065
0.676, 0.668, 0.807, 9.016
0.669, 0.649, 0.808, 9.525
0.667, 0.646, 0.814, 8.782
0.670, 0.648, 0.819, 8.526
0.674, 0.648, 0.817, 8.952
0.668, 0.679, 0.809, 10.262
0.683, 0.674, 0.818, 9.315
0.686, 0.677, 0.799, 8.876
0.671, 0.677, 0.803, 8.758
0.691, 0.675, 0.825, 9.958
0.666, 0.664, 0.814, 8.820
0.698, 0.680, 0.816, 8.684
0.634, 0.671, 0.808, 9.419
0.665, 0.696, 0.834, 8.993
0.700, 0.671, 0.823, 7.759
0.650, 0.651, 0.832, 9.001
0.680, 0.664, 0.833, 8.915
0.673, 0.654, 0.813, 9.439
0.686, 0.662, 0.818, 9.180
0.679, 0.656, 0.833, 8.529
0.692, 0.664, 0.819, 10.289
0.660, 0.655, 0.820, 9.309
0.652, 0.649, 0.834, 8.577
0.668, 0.663, 0.812, 9.133
0.652, 0.677, 0.806, 10.541
0.678, 0.649, 0.795, 10.737
0.683, 0.658, 0.832, 8.871
0.685, 0.659, 0.823, 8.685
0.664, 0.660, 0.813, 9.673
0.661, 0.673, 0.820, 10.127
0.670, 0.684, 0.820, 9.355
0.678, 0.665, 0.816, 9.683
0.660, 0.680, 0.824, 8.651
0.645, 0.667, 0.816, 10.615
0.671, 0.668, 0.804, 9.424
0.651, 0.674, 0.805, 8.203
0.672, 0.661, 0.824, 9.258
0.668, 0.645, 0.811, 8.816
0.664, 0.662, 0.807, 8.887
0.646, 0.649, 0.816, 9.504
0.671, 0.661, 0.815, 9.040
0.674, 0.685, 0.815, 10.275
0.659, 0.678, 0.834, 9.591
0.650, 0.656, 0.800, 9.574
0.683, 0.661, 0.817, 8.824
0.668, 0.670, 0.802, 9.729
0.688, 0.685, 0.821, 9.089
0.691, 0.648, 0.808, 8.728
0.642, 0.684, 0.803, 10.107
0.669, 0.667, 0.815, 9.351
0.679, 0.648, 0.811, 9.806
0.693, 0.667, 0.827, 8.155
0.667, 0.657, 0.820, 9.867
0.670, 0.679, 0.818, 10.254
0.652, 0.657, 0.818, 9.064
0.654, 0.650, 0.826, 8.833
0.655, 0.663, 0.812, 8.543
0.685, 0.651, 0.816, 9.911
0.690, 0.663, 0.811, 9.113
0.694, 0.677, 0.810, 8.981
0.671, 0.675, 0.787, 10.229
0.668, 0.664, 0.805, 8.606
0.652, 0.643, 0.833, 9.429
0.653, 0.677, 0.813, 9.930
0.654, 0.653, 0.822, 9.440
0.660, 0.648, 0.820, 8.227
0.701, 0.662, 0.809, 8.854
0.680, 0.676, 0.812, 9.842
0.673, 0.643, 0.834, 9.145
0.642, 0.665, 0.824, 10.130
0.670, 0.679, 0.793, 8.249
0.681, 0.678, 0.805, 9.352
0.668, 0.659, 0.809, 9.243
0.682, 0.673, 0.817, 8.824
0.699, 0.678, 0.814, 8.975
0.693, 0.671, 0.812, 9.123
0.678, 0.661, 0.804, 8.499
0.667, 0.656, 0.818, 8.621
0.656, 0.673, 0.814, 8.676
0.673, 0.667, 0.786, 9.093
0.675, 0.671, 0.825, 9.670
0.652, 0.653, 0.824, 10.296
0.662, 0.660, 0.804, 7.999
0.676, 0.672, 0.825, 8.949
0.698, 0.659, 0.826, 9.196
0.664, 0.686, 0.814, 9.094
0.687, 0.668, 0.807, 8.519
0.682, 0.644, 0.822, 10.879
0.675, 0.678, 0.803, 8.985
0.663, 0.667, 0.812, 9.009
0.687, 0.660, 0.814, 9.050
0.658, 0.677, 0.823, 9.033
0.678, 0.674, 0.807, 9.992
0.687, 0.672, 0.819, 8.964
0.678, 0.663, 0.797, 8.685
0.703, 0.667, 0.808, 8.310
0.666, 0.660, 0.826, 8.359
0.673, 0.686, 0.812, 8.880
0.682, 0.643, 0.815, 9.687
0.652, 0.667, 0.801, 9.498
0.669, 0.643, 0.837, 9.351
0.694, 0.657, 0.802, 9.385
0.648, 0.669, 0.825, 9.636
0.675, 0.661, 0.808, 8.155
0.686, 0.672, 0.799, 9.166
0.658, 0.660, 0.804, 8.481
0.662, 0.661, 0.830, 9.366
0.672, 0.686, 0.817, 8.852
0.677, 0.680, 0.823, 9.173
0.681, 0.675, 0.787, 8.606
0.672, 0.651, 0.805, 8.761
0.667, 0.677, 0.806, 9.090
0.672, 0.641, 0.807, 9.570
0.681, 0.642, 0.828, 8.776
0.665, 0.658, 0.815, 9.116
0.664, 0.631, 0.828, 9.209
0.675, 0.658, 0.810, 8.722
0.683, 0.654, 0.835, 9.622
0.671, 0.635, 0.801, 9.666
0.648, 0.627, 0.792, 8.871
0.674, 0.684, 0.824, 9.702
0.683, 0.679, 0.795, 8.758
0.650, 0.656, 0.810, 8.859
